"Mi compañera de cuarto y yo tenemos una rutina de café todas las mañanas.",0
"Acabo de descubrir una serie de comedia que me hace reír a carcajadas.",0
"Mi equipo de trabajo logró cumplir todas las metas del mes.",0
"Me encanta ir al mercado a comprar frutas y verduras frescas.",0
"Con mis primos jugamos juegos de mesa cada fin de semana.",0
"La aplicación que descargué tiene juegos muy entretenidos y educativos.",0
"Estoy ahorrando para comprar una nueva cámara y tomar fotos profesionales.",0
"Mi vecino y yo nos reunimos para hacer barbacoas los sábados.",0
"El nuevo restaurante que abrieron tiene la mejor comida italiana.",0
"Me siento muy orgulloso de los logros que he alcanzado en mi carrera.",0
"Con mi grupo de amigos tenemos un club de lectura muy divertido.",0
"Estoy aprendiendo a bailar salsa y me encanta la energía del ritmo.",0
"Mi habitación tiene una vista hermosa al atardecer, es mi lugar favorito.",0
"El parque cerca de mi casa tiene senderos ideales para caminar y relajarme.",0
"Mi colección de cómics sigue creciendo, cada edición es un tesoro.",0
"Me gusta ayudar a mis padres en el jardín, compartimos buenos momentos.",0
"En el trabajo organizamos actividades de team building muy entretenidas.",0
"Estoy muy contenta con los resultados de mi último examen universitario.",0
"Mi nuevo reloj inteligente me ayuda a mantenerme activo y saludable.",0
"¡Qué bonito amanecer! Me encanta empezar el día con esta vista.",0
"Hoy conocí un café nuevo con mi mejor amiga, muy acogedor.",0
"Mi sobrino se aprendió una canción y no para de cantarla.",0
"Estoy disfrutando mucho mi nuevo trabajo, el equipo es genial.",0
"El fin de semana voy a un concierto con mis primos.",0
"Mi planta favorita creció un montón, estoy muy orgullosa.",0
"Me encanta cuando llueve y puedo quedarme en casa leyendo.",0
"Mi grupo de estudio es muy unido, nos apoyamos siempre.",0
"La serie que estoy viendo es tan divertida que no puedo parar.",0
"Estoy preparando una cena sorpresa para mi novia.",0
"Mi abuela me enseñó a hacer galletas, quedaron deliciosas.",0
"Los videojuegos de estrategia son mis favoritos, me relajan.",0
"Estoy tomando clases de natación, ya aprendí a flotar.",0
"El olor del café recién hecho me da mucha tranquilidad.",0
"Mi equipo de baloncesto quedó campeón, increíble partido.",0
"Me compré un libro de ciencia ficción que me atrapó.",0
"Mi familia hizo una reunión virtual y nos reímos mucho.",0
"La nueva canción de mi artista favorito es buenísima.",0
"Estoy organizando mi espacio de trabajo, queda muy bonito.",0
"Mi perro aprendió un truco nuevo, se siente muy inteligente.",0
"El viaje a la playa fue perfecto, el mar estaba tranquilo.",0
"Estoy haciendo un curso de cocina, cada receta es un acierto.",0
"Mi colega me invitó a tomar un helado, muy divertido.",0
"El museo de ciencia tiene una exposición maravillosa.",0
"Estoy escribiendo un diario, me ayuda a recordar lo bueno.",0
"Mi papá y yo vamos a pescar el fin de semana.",0
"La película animada que vi me llenó de alegría.",0
"Estoy aprendiendo a usar Photoshop, me encanta diseñar.",0
"Mi vecina tiene un jardín hermoso, siempre lo cuida.",0
"El nuevo restaurante de sushi es mi lugar favorito.",0
"Estoy ahorrando para un viaje a Europa, muy emocionante.",0
"Mi compañero de clase me compartió unos apuntes perfectos.",0
"Los domingos de pizza con mi familia son sagrados.",0
"Estoy escuchando un podcast de comedia, me río a solas.",0
"Mi gato se durmió en mi regazo, me da mucha paz.",0
"Estoy participando en un torneo de ajedrez, estoy aprendiendo.",0
"Mi nueva amiga es muy divertida, reímos mucho juntas.",0
"La biblioteca de mi ciudad tiene un rincón muy acogedor.",0
"Estoy viendo videos de viajes para inspirarme.",0
"Mi hermano me prestó su consola, estoy jugando todo el día.",0
"El parque de diversiones fue genial, nos divertimos mucho.",0
"Mi jefe me felicitó por mi presentación, me sentí bien.",0
"Estoy decorando mi cuarto con luces, queda mágico.",0
"Mi mejor amigo se mudó cerca, ahora nos vemos más.",0
"El taller de pintura me tiene muy creativa estos días.",0
"Estoy tomando fotos de atardeceres, cada día es diferente.",0
"Mi primo me invitó a su partido de fútbol, ganaron.",0
"La nueva app de meditación me ayuda a empezar bien el día.",0
"Estoy planeando un picnic con mis compañeros de trabajo.",0
"Mi mamá me regaló un libro que siempre quise tener.",0
"¡Qué emoción! Mañana empiezan las vacaciones con toda la familia.",0
"Mi novia y yo vamos a ver una película de terror esta noche.",0
"El nuevo álbum de mi banda favorita me tiene bailando todo el día.",0
"Conseguí entradas para el concierto después de tanto intentarlo.",0
"Mi perro corrió feliz por el parque toda la tarde.",0
"El proyecto final de la universidad quedó mejor de lo que esperaba.",0
"Estoy viendo tutoriales para mejorar mis habilidades en diseño.",0
"Compré un nuevo set de LEGO para armar con mi hermano.",0
"Mi mejor amiga me llevó a comer tacos, estaban increíbles.",0
"La nueva actualización del juego trajo un mapa genial.",0
"Mi abuelo y yo jugamos ajedrez todas las tardes, aprendo mucho.",0
"Estoy organizando una fiesta sorpresa para mi mejor amigo.",0
"El curso en línea que estoy tomando es muy interesante.",0
"Mi madre y yo hicimos un pastel de chocolate espectacular.",0
"El equipo de natación tuvo un entrenamiento muy productivo.",0
"Me compré unas zapatillas nuevas, son muy cómodas.",0
"Estoy leyendo un cómic de superheroes, muy entretenido.",0
"Mi hermana me prestó su bicicleta para recorrer la ciudad.",0
"El fin de semana exploré un sendero nuevo en la montaña.",0
"Mi compañero de trabajo me enseñó una técnica muy útil.",0
"La clase de baile fue divertida, aprendí pasos nuevos.",0
"Mi gato persigue su cola y siempre me hace reír.",0
"Estoy descargando música para mi playlist de viaje.",0
"Mi tía me invitó a su jardín, tiene flores increíbles.",0
"El partido de voleibol del domingo estuvo muy emocionante.",0
"Mi cuarto quedó perfecto después de organizarlo.",0
"Voy a aprender a hacer sushi con un amigo japonés.",0
"Mi papá y yo estamos viendo una maratón de películas.",0
"El juego de mesa que compramos es súper divertido.",0
"Mi calificación en el examen fue mejor de lo que pensé.",0
"Estoy ahorrando para una consola nueva, casi lo logro.",0
"Mi prima me invitó a su graduación, estoy muy orgullosa.",0
"El podcast de ciencia me tiene fascinado esta semana.",0
"Mi gimnasio tiene nuevas máquinas, me encantan.",0
"Mi sobrino dijo su primera palabra, todos lloramos de alegría.",0
"La feria del libro tiene una oferta de novelas buenísimas.",0
"Mi compañera y yo estamos haciendo un proyecto creativo.",0
"El concierto en el parque fue gratis y muy bueno.",0
"Mi hermano me enseñó un truco en el juego de cartas.",0
"Estoy viendo tutoriales de maquillaje para un evento.",0
"Mi perro me acompañó a correr esta mañana, fue divertido.",0
"El nuevo episodio de mi serie favorita fue sorprendente.",0
"Mi familia planea viajar en carretera este verano.",0
"La aplicación de aprendizaje de idiomas me ayuda mucho.",0
"Mi vecino tiene un perro que me hace reír con sus travesuras.",0
"Estoy haciendo una lista de canciones para el viaje.",0
"Mi amigo ganó el torneo de videojuegos, felicidades.",0
"El taller de manualidades me tiene muy creativa.",0
"Mi jefe me dio un día libre, voy a descansar.",0
"Mi gato se sienta siempre en mi computadora, es muy gracioso.",0
text,label
"¡Qué bonito día para ir a la playa con mis amigos!",0
"Mi hermana y yo estamos viendo una maratón de Harry Potter.",0
"El nuevo juego de mesa es muy divertido, lo recomiendo.",0
"Conseguí un descuento increíble en mi tienda favorita.",0
"Mi gato está jugando con una caja de cartón, es adorable.",0
"El profesor nos felicitó por nuestro proyecto en clase.",0
"Estoy aprendiendo a hacer pan, mi primera hogaza salió bien.",0
"Mi primo y yo vamos a jugar fútbol en el parque.",0
"La nueva serie de animación es muy creativa.",0
"Mi mamá y yo vimos un atardecer hermoso desde la terraza.",0
"Estoy organizando mi biblioteca, encontré libros viejos.",0
"Mi mejor amigo me regaló un libro que quería.",0
"El concierto de rock fue una experiencia increíble.",0
"Mi perro aprendió a dar la pata, estoy orgulloso.",0
"Vamos a acampar en la playa el próximo fin de semana.",0
"Mi equipo de básquetbol está teniendo una buena racha.",0
"Estoy haciendo un curso de repostería, es muy dulce.",0
"Mi compañera de trabajo me invitó a su boda.",0
"La exposición de arte en el museo es impresionante.",0
"Mi sobrina baila muy bien, es un talento natural.",0
"Estoy viendo videos de cocina japonesa, me fascina.",0
"Mi familia hizo una barbacoa gigante el domingo.",0
"El nuevo teléfono tiene una batería que dura todo el día.",0
"Mi amigo me enseñó a jugar ajedrez, es muy estratégico.",0
"La película de comedia me hizo reír mucho.",0
"Mi gato duerme en posiciones muy extrañas.",0
"Estoy planeando un viaje a la montaña con mi novio.",0
"Mi hermana mayor me prestó su ropa para la fiesta.",0
"El parque de mi barrio tiene juegos infantiles nuevos.",0
"Mi profesor de música dijo que toco bien el piano.",0
"Estoy coleccionando figuras de mis personajes favoritos.",0
"Mi abuela me tejió una bufanda para el invierno.",0
"La aplicación de fotografía tiene filtros muy bonitos.",0
"Mi equipo de trabajo se llevó bien desde el primer día.",0
"El nuevo café tiene un ambiente muy acogedor.",0
"Mi primo ganó el campeonato de natación, felicidades.",0
"Estoy horneando galletas con mi hermana menor.",0
"La música de los 80 me hace bailar siempre.",0
"Mi vecina me regaló plantas para mi jardín.",0
"El libro de aventuras me transportó a otro mundo.",0
"Mi mamá está feliz porque arreglamos el jardín.",0
"Estoy aprendiendo a hacer malabares, es divertido.",0
"Mi amiga y yo hicimos un picnic en el campo.",0
"El nuevo episodio de mi podcast favorito salió hoy.",0
"Mi hermano me compró un juego para la consola.",0
"La clase de yoga me dejó muy relajada.",0
"Mi compañero de clase tiene muy buen humor.",0
"Estoy decorando mi cuarto con pósters de música.",0
"Mi gato y mi perro se llevan muy bien.",0
"El fin de semana iré a una feria de comida callejera.",0
text,label
"¡Qué alegría! Mi hermana viene a visitarme después de un año.",0
"El nuevo teléfono llegó hoy, estoy emocionada por probarlo.",0
"Mi equipo de fútbol ganó el partido con un gol en el último minuto.",0
"Estoy viendo una serie de cocina y aprendiendo recetas nuevas.",0
"Mi gato se durmió en mi cama, se ve tan tranquilo.",0
"El fin de semana voy a la playa con mi familia.",0
"Mi mejor amigo me llamó para contarme buenas noticias.",0
"La nueva canción de mi artista favorito es muy pegajosa.",0
"Estoy leyendo un libro que me regaló mi abuelo.",0
"Mi compañero de trabajo me invitó a tomar café.",0
"El juego de mesa que compramos es para toda la familia.",0
"Mi prima y yo estamos planeando un viaje juntas.",0
"La clase de pintura al óleo me tiene muy inspirada.",0
"Mi perro salta de felicidad cuando llego a casa.",0
"El concierto de música clásica fue una experiencia única.",0
"Mi mamá me enseñó a hacer empanadas, quedaron perfectas.",0
"Estoy armando un rompecabezas de 1000 piezas.",0
"Mi novio me sorprendió con flores hoy.",0
"El nuevo parque en mi barrio tiene columpios para adultos.",0
"Mi hermana menor está aprendiendo a tocar el piano.",0
"Estoy viendo un documental sobre el espacio, muy interesante.",0
"Mi equipo de baloncesto ganó el torneo regional.",0
"La feria de comida tiene platillos de todo el mundo.",0
"Mi abuelo me contó historias de su juventud.",0
"Estoy aprendiendo a hacer jardinería, me relaja mucho.",0
"Mi compañera de clase me prestó sus apuntes.",0
"El nuevo restaurante tiene una terraza con vistas bonitas.",0
"Mi gato se acurruca en mi regazo mientras leo.",0
"Estoy organizando una salida al cine con mis amigos.",0
"Mi tío me regaló un libro de fotografía.",0
"La aplicación de música tiene una playlist perfecta.",0
"Mi equipo de trabajo logró la meta del mes.",0
"El taller de escritura me tiene muy creativa.",0
"Mi mejor amiga y yo vamos al gimnasio juntas.",0
"El nuevo juego de aventuras tiene gráficos increíbles.",0
"Mi madre preparó mi comida favorita para la cena.",0
"Estoy viendo un tutorial de cómo hacer velas.",0
"Mi primo me invitó a su fiesta de cumpleaños.",0
"La serie de comedia me hace reír todas las noches.",0
"Mi perro aprendió a sentarse con solo una seña.",0
"Estoy planeando una escapada de fin de semana.",0
"Mi compañero de piso es muy organizado y agradable.",0
"El concierto de música electrónica fue una locura.",0
"Mi hermana y yo estamos viendo fotos de la infancia.",0
"El nuevo café tiene el mejor capuchino de la ciudad.",0
"Mi sobrino está aprendiendo a leer y es muy dedicado.",0
"Estoy haciendo una colección de sellos de diferentes países.",0
"Mi amigo me enseñó a hacer un truco de magia.",0
"La exposición de dinosaurios fue fascinante.",0
"Mi gato y yo vemos la tele juntos todos los días.",0
