text,label,topic,label_name
"Hace meses que nadie me invita a ningún lado, me di cuenta de que soy invisible y quiero desaparecer.",3,friends,label3
"Estoy escribiendo mi testamento y no sé cómo seguir, ojalá no despertara.",3,books,label3
Cada libro que termino me pregunto por qué no puedo terminar con todo.,3,books,label3
"Ser crítico de cine me aisló de todos, me odian tanto que les voy a dar el gusto de desaparecer.",3,movies,label3
Traemos un proyecto grande y todavía falta bastante por hacer.,1,school,label1
"Ya ni leer libros de fantasía me saca de esta realidad, la verdad solo quiero desaparecer para siempre",3,books,label3
Mi hermana y yo siempre terminamos discutiendo por el control de la tele.,1,family,label1
Llevo semanas sin ver un día soleado y siento que cada mañana me cuesta más levantarme.,2,weather,label2
"Mis amigos me invitan a ver estrenos y siempre invento excusas, la verdad es que salir de la cama me cuesta un esfuerzo sobrehumano",2,movies,label2
Qué desesperación cuando el teclado empieza a repetir letras solo y no podés escribir ni una palabra bien,1,technology,label1
"Llevo semanas coordinando turnos médicos y cuidados para mi abuelo completamente solo porque mis tíos se borraron, estoy re quemado",2,family,label2
la app me mando el codigo de seguimiento del pedido,0,shopping,label0
"Llevo semanas sintiéndome usado, parece que mis amigos solo me buscan cuando necesitan algo y esa decepción me quitó hasta el apetito",2,friends,label2
"Mi esposa me engañó y mis hijos están confundidos, ya no quiero seguir.",3,family,label3
"Llevo semanas sintiendo que si no llego a la liga máxima no valgo nada, esa autoexigencia tóxica me está destruyendo por dentro",2,gaming,label2
el hotel tiene una vista increible desde la habitacion,0,travel,label0
Me da mucha pereza tener que lijar a mano tres capas de barniz viejo para poder empezar a pintar,1,hobbies,label1
Siento que tiré miles de horas a la basura en este MMO y ahora no me queda energía ni para abrirlo ni para hacer otra cosa,2,gaming,label2
"Ya no puedo con la presión del trabajo, no quiero vivir así.",3,work,label3
Se me cayó una taza de café arriba de la mesita y mojé apenas el borde de tres páginas 🙃,0,books,label0
"Compré una vaporera de bambú para cocinar verduras y dumplings al vapor, una maravilla",0,cooking,label0
"Me aíslo en mi cuarto con música triste todas las madrugadas, sé que me hace mal pero no tengo fuerzas para cambiar la rutina 😔",2,music,label2
Últimamente prefiero apagar el celular para no enfrentar conversaciones con mis amigos.,2,friends,label2
llevamos al perro a la peluqueria canina hoy,0,pets,label0
"Estoy en un país extraño sin dinero ni apoyo, ojalá pudiera desaparecer.",3,travel,label3
prefiero leer en el celular cuando ando de viaje,0,books,label0
"Che me saqué un diez en la lección oral de biología, no me lo esperaba para nada!",0,school,label0
mi perro ladra cada vez que pasa el cartero,0,pets,label0
"Ver el cielo despejado todos los días sabiendo que necesitamos agua me genera una ansiedad tremenda, hace meses que la angustia no me deja dormir",2,weather,label2
"Perdón la demora gente se me pasó el colectivo, llego en quince clavados al bar",0,friends,label0
el sistema se cayo un rato pero ya lo arreglaron,0,work,label0
Hoy pasé más tiempo debuggeando que programando.,1,programming,label1
aproveche el cyber monday para comprar unas cosas,0,shopping,label0
"Compré las hojas milimetradas para el plano de construcciones, están carísimas che",0,university,label0
"Me obligan a ir a una escuela donde me maltratan diario, ya no aguanto el dolor, ojalá esta noche sea la última",3,school,label3
"Lloro todas las noches abrazando mis cuadernos porque no entiendo los temas, soy un retrasado y mejor sería no existir",3,school,label3
"Fracasé en mi emprendimiento y dejé a mi familia con deudas, estarían mucho mejor sin mí",3,work,label3
configurando el asistente de voz en el parlante nuevo,0,technology,label0
Estoy tan cansado mentalmente que cometo errores que antes jamás cometía.,2,programming,label2
Desde hace tiempo llego al restaurante sintiendo un peso enorme antes de empezar el turno.,2,work,label2
"Pasé por la dietética a comprar frutos secos, avena arrollada y semillas de chía sueltas",0,shopping,label0
Los cuentos cortos de esa autora son ideales para leer de a uno antes de ir a dormir,0,books,label0
"ando con varios proyectos a la vez, pero se puede",0,work,label0
Últimamente olvido cosas importantes porque mi cabeza está saturada.,2,university,label2
No dormí casi nada por quedarme terminando las láminas de dibujo técnico que son re minuciosas,1,school,label1
Qué fastidio cuando el chofer pone la radio a todo volumen con los parlantes saturados a las siete de la mañana,1,transportation,label1
"Abro el editor de código a la mañana y me da una taquicardia tremenda, no puedo concentrarme ni cinco minutos seguidos",2,programming,label2
Las suculentas del balcón se me etiolaron todas por falta de sol directo y quedaron re deformes,1,hobbies,label1
"El retiro me pegó durísimo, sin el rugby soy un don nadie, no encuentro motivos para seguir respirando",3,sports,label3
El dolor cervical y las migrañas crónicas de estar encorvado frente a la pantalla me tienen tomando analgésicos todos los días,2,technology,label2
Cada vez que entro a la fábrica siento que quisiera dejar de existir.,3,work,label3
Me encerré en la cocina a llorar y ya no quiero salir ni vivir.,3,cooking,label3
Mi perrita todavía le tiene miedo a subir al coche.,1,pets,label1
"Tengo una biblioteca de Steam con mil juegos y no quiero jugar a ninguno, la apatía me ganó y ya no le veo caso a seguir vivo",3,gaming,label3
Desde hace meses practicar con la banda se siente más como una carga que como un gusto.,2,music,label2
"El bloqueo artístico me demostró que estoy vacío por dentro, les escribo para despedirme definitivamente.",3,hobbies,label3
probando el nuevo servicio de streaming de musica,0,music,label0
La canción parece fácil hasta que intentas tocarla.,1,music,label1
Mi gato necesita atención constante y cada día termino más cansado mentalmente.,2,pets,label2
Dejé la valija armada anoche pero siento que me estoy olvidando el protector solar y los lentes de sol,0,travel,label0
Qué fastidio cuando un amigo te pide ayuda para mudarse un domingo temprano y después ni un gracias te tira 😩,1,friends,label1
"El postre estaba congelado como piedra en el centro, parecía que lo sacaron directo del freezer industrial",1,restaurants,label1
"Siento un vacío enorme, estoy rodeado de gente en la facultad pero hace meses que me siento completamente invisible para mis amigos",2,friends,label2
Me cuesta muchísimo concentrarme en la letra de cualquier canción.,2,music,label2
Desde hace tiempo siento que mi cabeza nunca sale del modo trabajo por culpa de tanta conexión.,2,technology,label2
Estoy aprendiendo un programa nuevo y todavía me confundo.,1,technology,label1
"Me da pánico irme a trabajar y volver a encontrar a mi gata descompensada en el piso, esa paranoia no me deja respirar tranquilo",2,pets,label2
Mi primo llegó de visita y cambió toda la rutina de la casa.,1,family,label1
Llevo meses sintiéndome un fracaso porque no puedo cumplir ni con la tarea básica de alimentarme como un adulto funcional,2,cooking,label2
Hoy el linter encontró más errores de los que esperaba.,1,programming,label1
"Hace semanas que voy a la facultad por pura inercia, no entiendo nada de lo que explican y me la paso con un nudo en la garganta",2,university,label2
el hostal donde nos quedamos tiene buena onda,0,travel,label0
"Vengo durmiendo re poco esta semana por terminar la auditoría, ya necesito que sea sábado",1,work,label1
Se me trabó el carrete de la máquina de coser y me arrugó toda la tela de la falda que estaba haciendo,1,hobbies,label1
Siento que la música dejó de ser un arte y se volvió solo un ruido de fondo que uso todas las madrugadas para no sentirme tan solo,2,music,label2
"Compré varios libros con mucha ilusión, pero siguen prácticamente nuevos.",2,books,label2
Estoy tratando de organizarme porque todo se juntó.,1,university,label1
el clima cambio tan rapido que no supe como vestirme,0,weather,label0
"El trastorno afectivo estacional me pegó durísimo este año, me la paso llorando de la nada y no tengo fuerzas ni para prepararme el desayuno 😔",2,weather,label2
"Mi telescopio está juntando polvo, ya no quiero mirar las estrellas, quiero convertirme en una y desaparecer de la tierra.",3,hobbies,label3
"Qué rabia me dio el final de la saga, el autor resolvió todo a las apuradas y dejó mil cabos sueltos 🤦‍♂️",1,books,label1
"Mi familia quería que fuera músico y fracasé, mejor desaparezco.",3,music,label3
"Mi empleo destruyó todo lo que era importante para mí, ya no veo futuro.",3,work,label3
"Mi mamá me regaló un libro y ni eso me anima, ya no quiero estar aquí.",3,books,label3
Llevo semanas durmiendo mal por todo lo que debo entregar.,2,university,label2
El final del capítulo me dejó con muchas dudas.,1,books,label1
"Ni siquiera tengo fuerzas para preparar algo de comer, solo quiero desaparecer.",3,cooking,label3
Últimamente cualquier reunión familiar termina dejándome emocionalmente drenado.,2,family,label2
"Listo el surtido mensual de mercadería no perecedera, llenamos el baúl del auto hasta el tope",0,shopping,label0
Extraño tanto mi casa que últimamente hasta me cuesta concentrarme donde estoy.,2,travel,label2
vamos a probar el restaurante nuevo que abrieron,0,friends,label0
El pedal de loop se me quedó sin batería en mitad de la improvisación en la plaza y pasé tremendo papelón,1,music,label1
No sé por qué nadie responde en el chat 😅,1,friends,label1
"Me siento invisible incluso jugando con mis amigos, no veo salida.",3,gaming,label3
Oigan pasen el link del drive con los entregables de diseño que no lo encuentro,0,work,label0
Últimamente cualquier lectura académica me sobrepasa y termino bloqueado.,2,books,label2
Llevo semanas tratando de pintar algo y termino dejando el pincel a un lado.,2,hobbies,label2
Se me cayó el celu al piso pero por suerte el vidrio templado absorbió todo el golpe,0,technology,label0
Llevo semanas cuidando a mi perro enfermo y ya casi no logro concentrarme en nada más.,2,pets,label2
Estoy practicando caligrafía y todavía me salen chuecas las letras.,1,hobbies,label1
organizando la salida de egresados con el grupo del cole,0,friends,label0
Llevo semanas sintiéndome un fracaso porque por más tratamientos costosos que pruebo la perra no muestra mejoría alguna,2,pets,label2
"Listo el pipeline de CI/CD en GitHub Actions, ahora compila y corre los linters de forma automática",0,programming,label0
Qué impotencia cuando el televisor inteligente se desconecta del wifi y hay que meter la clave de 20 dígitos con el control,1,technology,label1
Hace semanas que siento una tensión enorme por el estado de mi gato.,2,pets,label2
"La comida perdió todo sabor, la vida perdió todo color, les digo adiós con el estómago cerrado",3,cooking,label3
Cada examen me acerca más a pensar que no hay salida.,3,university,label3
practicando piano una hora todos los dias,0,music,label0
Cada vez que pienso en socializar con mis amigos termino sintiéndome agotado.,2,friends,label2
"Lloro frente al monitor todas las madrugadas, la presión de este desarrollo es demasiada y ya no quiero seguir vivo",3,technology,label3
Me pasé toda la mañana haciendo fila en la fiambrería para que me digan que se quedaron sin queso de máquina,1,shopping,label1
Estoy revisando reseñas porque todavía tengo dudas.,1,shopping,label1
Me cuesta entender la autenticación con JWT.,1,programming,label1
"revisando un pull request de un compañero, esta bastante prolijo",0,programming,label0
"el jefe movio la reunion de nuevo, ya van tres veces esta semana",0,work,label0
Me bajé un navegador más liviano para la tablet vieja y ahora carga los videos sin trabarse,0,technology,label0
Tengo como diez issues abiertos en Jira asignados a mi nombre para este sprint y no llego ni a la mitad,1,programming,label1
Antes el juego era mi escape para relajarme y ahora cada partida me detona una taquicardia y una angustia que me duran horas,2,gaming,label2
cambiando de talle porque el que pedi no entraba,0,shopping,label0
Mi serpiente está mudando la piel y quiero asegurarme de que todo vaya bien.,1,pets,label1
quien juega esta noche? armamos equipo,0,gaming,label0
"Me tiene con el estómago cerrado esperar el diagnóstico de la ecografía del boxer, ojalá no sea nada grave",1,pets,label1
"Me cuesta horrores ir a mis clases de baile, la música suena pero mi cuerpo pesa toneladas y no logro conectar con nada",2,hobbies,label2
"El tráfico ya no solo me desespera, siento que me está quitando toda la energía.",2,transportation,label2
"Mi hamster murió y parece algo pequeño para todos, pero yo ya no veo salida.",3,pets,label3
"El preparador físico nos mató con las series de resistencia bajo el sol, salí con la vista nublada",1,sports,label1
Qué bronca cuando se te despega la cinta de enmascarar y se filtra pintura abajo de la línea recta,1,hobbies,label1
"Desde que quebré mi negocio de comida no veo salida, ya no quiero vivir.",3,cooking,label3
Ya van semanas en las que enciendo la PC y me quedo viendo el menú sin ganas de jugar.,2,gaming,label2
"El estrés de la cocina industrial me reventó la cabeza, ojalá no me despierte mañana para no volver al servicio",3,cooking,label3
Nos cobraron dos aguas minerales de más en el ticket y tuvimos que esperar a que el encargado anule la factura,1,restaurants,label1
tengo esa cancion pegada en la cabeza desde la mañana,0,music,label0
"Antes correr me despejaba, ahora termino mentalmente agotado.",2,sports,label2
encontre estacionamiento super rapido hoy,0,transportation,label0
Hicimos diez kilómetros de trekking por el bosque nativo buscando hongos silvestres para fotografiar,0,hobbies,label0
"Ya cargué las horas en el sistema, fíjense de imputarlas bien que cierra la quincena hoy",0,work,label0
Me cuesta encontrar un momento de tranquilidad cuando todos están en casa.,1,family,label1
"Tengo la heladera vacía y el alma más vacía todavía, ojalá un accidente me lleve hoy mismo",3,cooking,label3
No logro terminar el proyecto y siento que sería mejor no estar aquí.,3,programming,label3
Siento que no avanzo nada con la tesis por culpa de este script de procesamiento que tira out of memory,1,programming,label1
"Llevo un mes postergando la entrega final, me siento tan insuficiente y bloqueado que prefiero desaprobar antes que mostrar lo que hice",2,university,label2
asando pollo con especias nuevas que compre,0,cooking,label0
Mis nietos no me visitan y me siento tan sola que ya no quiero vivir.,3,family,label3
el juego de mesa digital tambien esta bastante entretenido,0,gaming,label0
"Estoy intentando pasar más tiempo con mi familia, aunque la semana ha estado pesada.",1,family,label1
el perro se robo la pelota de mi hermano y no la suelta,0,pets,label0
"Leo para escapar pero la realidad me alcanza, ya no quiero vivir.",3,books,label3
"Lloro todo el camino en el colectivo pensando en que soy un fracaso, decidí que esta es mi última noche acá",3,transportation,label3
"Siento que mi perro se llevó mi corazón cuando lo dormimos, no encuentro motivos para levantarme y lo mejor es desaparecer",3,pets,label3
El concierto empezó más tarde de lo esperado.,1,music,label1
"Me desespera sentir que practico diario y aun así no mejoro, llevo así bastante tiempo.",2,gaming,label2
Perdimos el invicto del torneo por dos errores individuales infantiles que regalamos atrás,1,sports,label1
Entre los cuidados de mi perro y el trabajo siento que ya no puedo concentrarme bien.,2,pets,label2
"Qué genio el director, la forma en que usa los planos secuencia te mete de lleno en la trama",0,movies,label0
pedimos delivery porque no teniamos ganas de cocinar,0,restaurants,label0
"Perdí a mi mejor amiga por una discusión y ahora no veo salida, solo quiero desaparecer.",3,friends,label3
Llevo tres semanas trabado en el mismo capítulo de la novela rusa y no logro avanzar ni dos páginas,1,books,label1
Me siento tan miserable en la oficina que rezo para tener un accidente fatal en el camino y no llegar nunca más,3,work,label3
Hace un mes que evito cualquier película dramática porque sé que si veo algo triste me voy a desarmar y no voy a poder parar de llorar,2,movies,label2
La resolana del mediodía me quemó la cara por olvidarme de ponerme protector solar antes de salir a la obra,1,weather,label1
"Mi novia me dejó, puse la película que vimos en nuestra primera cita y tomé la firme decisión de no seguir en este mundo.",3,movies,label3
el pez nuevo se esta adaptando bien a la pecera,0,pets,label0
"Llevo meses sin poder pisar una cancha por el pánico, soy un cobarde y lo más digno que puedo hacer es desaparecer",3,sports,label3
"terminamos la temporada en el top 100, contento con eso",0,gaming,label0
Extraño cuando realmente disfrutaba escuchar música camino al trabajo.,2,music,label2
Paso los días con una opresión constante en el pecho viendo a mi perra que ya casi no se puede sostener en pie por la artrosis,2,pets,label2
Mi jardín era mi refugio y ahora ni eso me da ganas de vivir.,3,hobbies,label3
El caramelo para el flan se me pasó de cocción en dos segundos y me dejó la cocina tapada de humo negro 😩,1,cooking,label1
Se suspendió la clase magistral de sociología porque el docente se quedó sin voz,0,university,label0
mi abuela me enseño una receta nueva hoy,0,family,label0
el semaforo de la esquina quedo en amarillo intermitente,0,transportation,label0
Traigo varias lecturas pendientes para derecho.,1,university,label1
Me preocupa no alcanzar a terminar antes de la fecha límite.,1,programming,label1
"Me quedé tirado en la carretera con el camión descompuesto, estoy completamente solo y tomé la decisión de no volver a casa nunca más",3,transportation,label3
Me tiene re tenso pensar que si repruebo esta materia correlativa me atraso un año entero en la carrera,1,university,label1
Estuvimos ensayando el baile para el acto del 25 de mayo y nos salió re coordinado,0,school,label0
"Cada semilla que planto es una esperanza que se muere, ya no quiero seguir.",3,hobbies,label3
Paso tantas horas frente al monitor que termino sin energía para cualquier otra cosa.,2,programming,label2
"Las peleas a los gritos entre mis papás me tienen con taquicardia todos los días, no logro concentrarme ni para leer una página",2,family,label2
"Las tormentas de arena en el desierto me dejaron varado y sin esperanza, mi final llegó.",3,weather,label3
El lugar tiene una decoración muy bonita.,0,restaurants,label0
Hay muchas actividades este mes y siento que todo se junta.,1,school,label1
Vi una peli sobre alguien que desaparece y pensé que yo debería hacer lo mismo.,3,movies,label3
Mi vida gira alrededor del gaming y aun así siento que ya no tiene sentido seguir.,3,gaming,label3
"El menú del día de hoy es mi última lágrima, me voy de este mundo sabiendo que no le serví a nadie",3,cooking,label3
"Antes disfrutaba ir a clases, ahora solo pienso en todo lo que falta por entregar.",2,school,label2
"Otro día llorando en el volante de este tráiler, estoy tan cansado de esta soledad que ya tomé la decisión de acabar con todo",3,transportation,label3
Cada vez que reviso mis calificaciones siento que ya no tiene sentido seguir.,3,university,label3
